microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection	collection_attempts	cycles	animal	protocol
M300731	78	42.804278806428876	3.528419512720426	Colon	Positive	MSEB0010	G121eO301A	B11	12362.87926	20562.75016	5000	Fail	3	19	G121e	ULV2_Full
M300732	0	1	0	Colon	Positive	MSEB0010	G121eO301A	B11	12575.2964	20313.68812	5000	Success	2	19	G121e	ULV2_Full
M300733	29	21.650468615945762	3.164116337102349	Colon	Positive	MSEB0010	G121eO301A	B11	12653.67	19720.44008	5000	Success	1	19	G121e	ULV2_Full
M300734	0	1	0	Colon	NegativeMebrane	MSEB0010	G121eO301M	B11	17189.2718	29742.57816	5000	Success	1	19	G121e	ULV2_Full
M300735	67	39.69710427775601	3.6372484449708895	Colon	Positive	MSEB0010	G121eO301A	B11	11471.31336	19136.4	5000	Success	1	19	G121e	ULV2_Full
M300736	89	44.552603512425904	3.811527378431754	Colon	Positive	MSEB0010	G121eO301A	B11	13507.3447	18129.9332	5000	Success	2	19	G121e	ULV2_Full
M300737	0	1	0	Colon	Positive	MSEB0010	G121eO301A	B11	13457.11914	17998.49878	5000	Success	1	19	G121e	ULV2_Full
M300738	85	45.260226578722836	3.732126637794027	Colon	Positive	MSEB0010	G121eO301A	B11	13010.05838	17942.33102	5000	Success	1	19	G121e	ULV2_Full
M300739	0	1	0	Colon	NegativeReaction	MSEB0010	G121eO301R	B11	NA	NA	NA	NA	0	19	G121e	ULV2_Full
M300740	0	1	0	Colon	NegativeMebrane	MSEB0010	G121eO301M	B11	17787.8361	12522.87874	5000	Success	2	19	G121e	ULV2_Full
M300741	75	40.57974169928549	3.7276727546827515	Colon	Positive	MSEB0010	G121eO301A	B11	12684.36776	17716.75106	5000	Success	1	19	G121e	ULV2_Full
M300742	82	42.384535702446286	3.8662767556536455	Colon	Positive	MSEB0010	G121eO301A	B11	12621.54598	17543.53628	5000	Success	2	19	G121e	ULV2_Full
M300743	76	41.817271793295774	3.716889563051365	Colon	Positive	MSEB0010	G121eO301A	B11	12372.90116	16657.59968	5000	Success	2	19	G121e	ULV2_Full
M300744	32	24.141379992723106	3.1260920625475888	Colon	Positive	MSEB0010	G121eO301A	B11	11994.45138	14153.12974	5000	Success	1	19	G121e	ULV2_Full
M300745	59	36.354255805638424	3.4501422099127956	Colon	Positive	MSEB0010	G121eO301A	B11	12007.49698	14299.24046	5000	Success	1	19	G121e	ULV2_Full
M300746	0	1	0	Colon	NegativeCollection	MSEB0010	G121eO301Z	B11	NA	NA	NA	NA	0	19	G121e	ULV2_Full
M300747	85	45.968276835863456	3.635521160922394	Colon	Positive	MSEB0010	G121eO301A	B11	12029.34836	14662.47546	5000	Success	3	19	G121e	ULV2_Full
M300748	64	37.120180243708305	3.4918451537433364	Colon	Positive	MSEB0010	G121eO301A	B11	12076.59094	15671.86506	5000	Success	1	19	G121e	ULV2_Full
M300749	0	1	0	Colon	NegativeMebrane	MSEB0010	G121eO301M	B11	8706.30096	29038.14926	5000	Success	1	19	G121e	ULV2_Full
M300750	73	39.84386575463915	3.724420079043419	Colon	Positive	MSEB0010	G121eO301A	B11	12060.51008	16688.9842	5000	Success	1	19	G121e	ULV2_Full
M300751	80	43.869573328332486	3.7247026814670368	Colon	Positive	MSEB0010	G121eO301A	B11	11931.1964	19713.76962	5000	Success	1	19	G121e	ULV2_Full
M300752	0	1	0	Colon	NegativeMebrane	MSEB0010	G121eO301M	B12	13243.9702	30714.35286	5000	Success	1	15	G121e	ULV2_Full
M300753	65	35.11840333352269	3.5769091871062346	Colon	Positive	MSEB0010	G121eO301A	B12	13884.29948	20066.12646	5000	Success	1	15	G121e	ULV2_Full
M300754	0	1	0	Colon	NegativeReaction	MSEB0010	G121eO301R	B12	NA	NA	NA	NA	0	15	G121e	ULV2_Full
M300755	76	38.643425167938354	3.8813839944605792	Colon	Positive	MSEB0010	G121eO301A	B12	13715.67514	19528.97232	5000	Success	1	15	G121e	ULV2_Full
M300756	103	43.20139334991148	3.9750654983037257	Colon	Positive	MSEB0010	G121eO301A	B12	13508.6447	19087.25324	5000	Success	1	15	G121e	ULV2_Full
M300757	83	39.509498602663356	3.962203765464882	Colon	Positive	MSEB0010	G121eO301A	B12	13209.3237	18911.46378	5000	Fail	3	15	G121e	ULV2_Full
M300758	98	47.502632166098294	3.770412323548583	Colon	Positive	MSEB0010	G121eO301A	B12	13454.4955	18211.87688	5000	Fail	3	15	G121e	ULV2_Full
M300759	105	45.50758530398266	4.049634348142149	Colon	Positive	MSEB0010	G121eO301A	B12	13356.62736	17525.29242	5000	Success	1	15	G121e	ULV2_Full
M300760	78	37.48234366410063	3.8807680197586745	Colon	Positive	MSEB0010	G121eO301A	B12	12866.49454	15050.06616	5000	Success	1	15	G121e	ULV2_Full
M300761	115	45.5782376607257	4.009381616709895	Colon	Positive	MSEB0010	G121eO301A	B12	12921.93834	15311.99024	5000	Success	3	15	G121e	ULV2_Full
M300762	0	1	0	Colon	NegativeCollection	MSEB0010	G121eO301Z	B12	NA	NA	NA	NA	0	15	G121e	ULV2_Full
M300763	125	50.960537437045396	3.955766535688887	Colon	Positive	MSEB0010	G121eO301A	B12	12995.94598	15577.54522	5000	Fail	3	15	G121e	ULV2_Full
M300764	115	48.329754555107804	3.8276266137506605	Colon	Positive	MSEB0010	G121eO301A	B12	12999.10738	16205.10154	5000	Success	2	15	G121e	ULV2_Full
M300765	0	1	0	Colon	NegativeMebrane	MSEB0010	G121eO301M	B12	13266.8	30315.89878	5000	Success	1	15	G121e	ULV2_Full
M300766	112	46.70480678316389	4.047945718293649	Colon	Positive	MSEB0010	G121eO301A	B12	13128.59698	18741.54252	5000	Success	2	15	G121e	ULV2_Full
M300767	100	41.24388711581881	3.8794403702981173	Colon	Positive	MSEB0010	G121eO301A	B12	13103.6842	20085.08362	5000	Success	1	15	G121e	ULV2_Full
M300768	79	38.78459821272535	3.825901003429788	Colon	Positive	MSEB0010	G121eO301A	B12	12299.77816	15261.2528	5000	Success	1	15	G121e	ULV2_Full
M300769	0	1	0	Colon	NegativeMebrane	MSEB0010	G121eO301M	B12	11581.66596	28330.7851	5000	Success	1	15	G121e	ULV2_Full
M300770	0	1	0	Colon	NegativeCollection	MSEB0010	G121eO301Z	B12	NA	NA	NA	NA	0	15	G121e	ULV2_Full
M300771	58	34.64327167247729	3.707137382802578	Colon	Positive	MSEB0010	G121eO301A	B12	12230.63648	14216.24098	5000	Success	1	15	G121e	ULV2_Full
M300772	102	47.63978291347428	3.776414694506792	Colon	Positive	MSEB0010	G121eO301A	B12	12192.80424	14393.51548	5000	Success	2	15	G121e	ULV2_Full
M300773	106	50.26274552026628	3.5327860985950723	Colon	Positive	MSEB0010	G121eO301A	B12	12122.68414	16011.33192	5000	Fail	3	15	G121e	ULV2_Full
M300774	114	46.30682604803857	4.042441785186579	Colon	Positive	MSEB0010	G121eO301A	B12	12155.62428	16716.4693	5000	Fail	3	15	G121e	ULV2_Full
M300775	92	40.48261242681685	3.9025828529848297	Colon	Positive	MSEB0010	G121eO301A	B12	12941.42922	17792.20912	5000	Success	1	15	G121e	ULV2_Full
M300776	71	37.6550192543244	3.733927653978262	Colon	Positive	MSEB0010	G121eO301A	B12	10481.8709	16446.69692	5000	Success	1	19	G121e	ULV2_Full
M300777	0	1	0	Colon	Positive	MSEB0010	G121eO301A	B12	10486.43686	16559.54136	5000	Success	2	19	G121e	ULV2_Full
M300778	82	41.038917842394895	3.81672532036793	Colon	Positive	MSEB0010	G121eO301A	B12	10349.8842	16974.87142	5000	Success	1	19	G121e	ULV2_Full
M300779	0	1	0	Colon	NegativeCollection	MSEB0010	G121eO301Z	B12	NA	NA	NA	NA	0	19	G121e	ULV2_Full
M300780	88	40.13009351754767	3.8655649294444725	Colon	Positive	MSEB0010	G121eO301A	B12	10386.11188	17635.7851	5000	Success	2	19	G121e	ULV2_Full
M300781	0	1	0	Colon	NegativeMebrane	MSEB0010	G121eO301M	B12	9381.64688	30091.13282	5000	Success	2	19	G121e	ULV2_Full
M300782	86	39.3024141461956	3.877353642908275	Colon	Positive	MSEB0010	G121eO301A	B12	10499.6086	18348.85048	5000	Success	1	19	G121e	ULV2_Full
M300783	67	37.37163174123688	3.758085575991353	Colon	Positive	MSEB0010	G121eO301A	B12	10505.17912	19231.33282	5000	Success	1	19	G121e	ULV2_Full
M300784	63	33.76452492028719	3.7210044234497808	Colon	Positive	MSEB0010	G121eO301A	B12	11637.20456	19482.30058	5000	Success	2	19	G121e	ULV2_Full
M300785	0	1	0	Colon	NegativeMebrane	MSEB0010	G121eO301M	B12	9262.83192	30609.57778	5000	Success	1	19	G121e	ULV2_Full
M300786	44	28.49382837563507	3.599360898020671	Colon	Positive	MSEB0010	G121eO301A	B12	11099.17694	18995.86744	5000	Success	2	19	G121e	ULV2_Full
M300787	106	45.535130733469465	3.9625760287217133	Colon	Positive	MSEB0010	G121eO301A	B12	10460.97366	19686.93828	5000	Success	3	19	G121e	ULV2_Full
M300788	62	33.58389354233593	3.7069331546713853	Colon	Positive	MSEB0010	G121eO301A	B12	10442.08368	20914.3589	5000	Success	1	19	G121e	ULV2_Full
M300789	0	1	0	Colon	NegativeReaction	MSEB0010	G121eO301R	B12	NA	NA	NA	NA	0	19	G121e	ULV2_Full
M300790	0	1	0	Colon	Positive	MSEB0010	G121eO301A	B12	10801.29326	21241.46384	5000	Success	1	19	G121e	ULV2_Full
M300791	47	26.239698077690093	3.673654184840784	Colon	Positive	MSEB0010	G121eO301A	B12	11146.55684	21763.21792	5000	Success	2	19	G121e	ULV2_Full
M300792	103	44.06860567847199	4.135758898888009	Colon	Positive	MSEB0010	G121eO301A	B12	11630.3341	20543.5896	5000	Fail	3	19	G121e	ULV2_Full
M300793	0	1	0	Colon	NegativeCollection	MSEB0010	G121eO301Z	B12	NA	NA	NA	NA	0	19	G121e	ULV2_Full
M300794	105	44.71253961159028	3.9419594054669727	Colon	Positive	MSEB0010	G121eO301A	B12	11673.93686	21223.36474	5000	Success	1	19	G121e	ULV2_Full
M300795	0	1	0	Colon	Positive	MSEB0010	G121eO301A	B12	11602.686	22068.26416	5000	Success	1	19	G121e	ULV2_Full
M300796	0	1	0	Colon	NegativeMebrane	MSEB0010	G121eO301M	B12	13661.80424	28676.17836	5000	Fail	3	19	G121e	ULV2_Full
M300797	96	39.84992498815306	3.911499539975897	Colon	Positive	MSEB0010	G121eO301A	B12	12879.97508	20904.88182	5000	Success	3	19	G121e	ULV2_Full
M300798	116	39.422201084083014	4.058836280761133	Colon	Positive	MSEB0010	G121eO301A	B12	12256.4919	21371.44612	5000	Success	2	19	G121e	ULV2_Full
M300799	0	1	0	Colon	Positive	MSEB0010	G121eO301A	B12	11843.31104	19915.7264	5000	Success	1	19	G121e	ULV2_Full
M300800	0	1	0	Caecum right	Positive	MSEB0011	G121eI103A	B11	10737.62062	16484.23918	5000	Success	1	15	G121e	ULV2_Half
M300801	78	44.39038999711274	3.7842448003314124	Caecum right	Positive	MSEB0011	G121eI103A	B11	11138.6973	16511.96108	5000	Success	1	15	G121e	ULV2_Half
M300803	71	39.47411761672179	3.8222550650333713	Caecum right	Positive	MSEB0011	G121eI103A	B11	11622.11188	16524.68054	5000	Success	1	15	G121e	ULV2_Half
M300804	33	23.1383634142824	3.2607804297757195	Caecum right	Positive	MSEB0011	G121eI103A	B11	12248.56416	16527.94194	5000	Success	1	15	G121e	ULV2_Half
M300805	0	1	0	Caecum right	NegativeCollection	MSEB0011	G121eI103Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Half
M300806	69	38.86054042049436	3.988010260796054	Caecum right	Positive	MSEB0011	G121eI103A	B11	12747.25504	16541.31368	5000	Success	1	15	G121e	ULV2_Half
M300807	29	22.140225987817637	3.3159147842178625	Caecum right	Positive	MSEB0011	G121eI103A	B11	13483.0501	16527.28966	5000	Fail	3	15	G121e	ULV2_Half
M300808	69	38.19009187939299	3.809513097105878	Caecum right	Positive	MSEB0011	G121eI103A	B11	12989.96544	14210.7718	5000	Success	2	15	G121e	ULV2_Half
M300809	92	45.51707049328158	3.915548186658059	Caecum right	Positive	MSEB0011	G121eI103A	B11	12867.98908	14539.37932	5000	Success	1	15	G121e	ULV2_Half
M300810	67	38.069887695784736	3.782673339166199	Caecum right	Positive	MSEB0011	G121eI103A	B11	12837.8842	14848.52736	5000	Success	1	15	G121e	ULV2_Half
M300811	75	40.146393025623695	3.950945771089245	Caecum right	Positive	MSEB0011	G121eI103A	B11	12938.91374	15317.87508	5000	Success	1	15	G121e	ULV2_Half
M300812	0	1	0	Caecum right	NegativeReaction	MSEB0011	G121eI103R	NA	NA	NA	NA	NA	0	15	G121e	ULV2_Half
M300813	0	1	0	Caecum right	NegativeMebrane	MSEB0011	G121eI103M	B11	7483.54342	20472.49152	5000	Success	3	15	G121e	ULV2_Half
M300814	71	41.11322335104899	3.764758038272592	Caecum right	Positive	MSEB0011	G121eI103A	B11	12798.89968	16162.57508	5000	Success	1	15	G121e	ULV2_Half
M300815	66	39.086465277075334	3.646800550644699	Caecum right	Positive	MSEB0011	G121eI103A	B11	12954.7946	17561.436420000002	5000	Success	2	15	G121e	ULV2_Half
M300816	85	46.45175422630789	3.778273915492889	Caecum right	Positive	MSEB0011	G121eI103A	B11	12298.56686	17532.22062	5000	Success	3	15	G121e	ULV2_Half
M300817	0	1	0	Caecum right	NegativeCollection	MSEB0011	G121eI103Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Half
M300818	70	38.736589319907154	3.877997463185071	Caecum right	Positive	MSEB0011	G121eI103A	B11	12361.31188	17184.33796	5000	Success	2	15	G121e	ULV2_Half
M300819	64	36.98786098042095	3.7819322396429733	Caecum right	Positive	MSEB0011	G121eI103A	B11	12388.1815	16727.70514	5000	Success	1	15	G121e	ULV2_Half
M300820	65	38.99831059672799	3.597945141429868	Caecum right	Positive	MSEB0011	G121eI103A	B11	12429.47514	16253.89602	5000	Success	1	15	G121e	ULV2_Half
M300821	28	21.405009344672955	3.242612216587919	Caecum right	Positive	MSEB0011	G121eI103A	B11	12344.87874	15766.96744	5000	Fail	3	15	G121e	ULV2_Half
M300822	66	38.42587233045275	3.796689631470586	Caecum right	Positive	MSEB0011	G121eI103A	B11	12320.97052	15543.6964	5000	Success	2	15	G121e	ULV2_Half
M300823	2	1.86529170718192	1.0285220387952	Caecum right	NegativeMebrane	MSEB0011	G121eI103M	B11	8397.2201	20245.35472	5000	Success	2	15	G121e	ULV2_Half
M300824	66	37.15509363198258	3.6548238709309326	Caecum right	Positive	MSEB0011	G121eI103A	B11	11719.47418	16323.69454	5000	Success	1	15	G121e	ULV2_Half
M300825	72	38.97716896082489	3.813965558170269	Caecum right	Positive	MSEB0011	G121eI103A	B11	11961.39744	16158.99384	5000	Success	3	15	G121e	ULV2_Half
M300826	0	1	0	Caecum right	NegativeMebrane	MSEB0011	G121eI103M	B11	9454.23738	12723.73648	5000	Success	1	15	G121e	ULV2_Half
M300827	36	24.96237194227428	3.5841830706315347	Caecum right	Positive	MSEB0011	G121eI103A	B11	13426.28548	16219.42974	5000	Success	1	15	G121e	ULV2_Half
M300828	70	41.500828946104626	3.745496463015428	Caecum right	Positive	MSEB0011	G121eI103A	B11	13625.12878	16318.35016	5000	Success	2	15	G121e	ULV2_Half
M300829	67	39.45648645743585	3.719461880093028	Caecum right	Positive	MSEB0011	G121eI103A	B11	13735.13796	15891.15292	5000	Success	1	15	G121e	ULV2_Half
M300830	0	1	0	Caecum right	NegativeCollection	MSEB0011	G121eI103Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Half
M300831	72	42.136662564470825	3.7848225839648455	Caecum right	Positive	MSEB0011	G121eI103A	B11	13557.47546	15842.13192	5000	Success	2	15	G121e	ULV2_Half
M300832	0	1	0	Caecum right	NegativeMebrane	MSEB0011	G121eI103M	B11	8606.62826	16865.69512	5000	Success	1	15	G121e	ULV2_Half
M300833	64	37.56420112797706	3.777641149530307	Caecum right	Positive	MSEB0011	G121eI103A	B11	12563.14136	14328.70244	5000	Success	1	15	G121e	ULV2_Half
M300834	65	37.503166272824856	3.696071130406364	Caecum right	Positive	MSEB0011	G121eI103A	B11	12919.30366	14314.45228	5000	Success	1	15	G121e	ULV2_Half
M300835	72	38.41273163601999	3.831799169161351	Caecum right	Positive	MSEB0011	G121eI103A	B11	11266.93378	14345.81156	5000	Success	2	15	G121e	ULV2_Half
M300836	81	42.99551019792478	3.8600762975319154	Caecum right	Positive	MSEB0011	G121eI103A	B11	11220.6219	14576.61002	5000	Success	2	15	G121e	ULV2_Half
M300837	69	38.03562490344881	3.7280157905335196	Caecum right	Positive	MSEB0011	G121eI103A	B11	11229.65382	14972.21374	5000	Success	2	15	G121e	ULV2_Half
M300838	0	1	0	Caecum right	NegativeReaction	MSEB0011	G121eI103R	NA	NA	NA	NA	NA	0	15	G121e	ULV2_Half
M300839	28	24.007908862780845	3.0973423235750746	Caecum right	Positive	MSEB0011	G121eI103A	B11	11750.52138	14739.7842	5000	Fail	3	15	G121e	ULV2_Half
M300840	55	35.928449200803165	3.4977056100304154	Caecum right	Positive	MSEB0011	G121eI103A	B11	8408.33514	16985.06236	5000	Success	1	15	G121e	ULV2_Half
M300841	0	1	0	Caecum right	NegativeCollection	MSEB0011	G121eI103Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Half
M300886	68	38.86489135497876	3.7695938747541846	Caecum right	Positive	MSEB0011	G121eI103A	B11	12563.14136	14328.70244	5000	Success	1	15	G121e	ULV2_Half
M301037	67	38.5501732427623	3.734807632516933	Caecum right	Positive	MSEB0011	G121eI103A	B11	12952.2438	14374.78818	5000	Success	1	15	G121e	ULV2_Half
M301038	95	49.02559177613687	3.8376647569298616	Caecum right	Positive	MSEB0011	G121eI103A	B11	11132.23796	14468.76634	5000	Success	3	15	G121e	ULV2_Half
M301039	65	39.45787308773341	3.6682848646762616	Caecum right	Positive	MSEB0011	G121eI103A	B11	11247.03924	14610.85472	5000	Success	1	15	G121e	ULV2_Half
M301040	0	1	0	Caecum right	NegativeMebrane	MSEB0011	G121eI103M	B11	11318.03776	14675.1002	5000	Success	2	15	G121e	ULV2_Half
M301041	76	39.39697035187141	3.756036242777539	Caecum right	Positive	MSEB0011	G121eI103A	B11	11461.88748	14723.80334	5000	Success	1	15	G121e	ULV2_Half
M301042	37	21.92356809635604	2.436772614201044	Caecum right	Positive	MSEB0011	G103bI301A	B11	NA	NA	NA	Fail	3	15	G103b	ULV2_Half
M301043	0	1	0	Caecum right	NegativeMebrane	MSEB0011	G103bI301M	B11	37045.87604	21898.70604	5000	Success	2	15	G103b	ULV2_Half
M301044	39	21.624414929655607	2.552723883269386	Caecum right	Positive	MSEB0011	G103bI301A	B11	39826.46454	16381.5368	5000	Success	2	15	G103b	ULV2_Half
M301045	47	24.763426731344108	2.525497558409995	Caecum right	Positive	MSEB0011	G103bI301A	B11	40015.9332	16372.07874	5000	Success	1	15	G103b	ULV2_Half
M301046	43	24.571092459283662	2.5453037229483066	Caecum right	Positive	MSEB0011	G103bI301A	B11	40430.65048	16268.04008	5000	Success	1	15	G103b	ULV2_Half
M301047	0	1	0	Caecum right	NegativeCollection	MSEB0011	G103bI301Z	B11	NA	NA	NA	NA	0	15	G103b	ULV2_Half
M301048	36	22.515580438785836	2.4194796669441927	Caecum right	Positive	MSEB0011	G103bI301A	B11	40926.24052	16353.48876	5000	Success	1	15	G103b	ULV2_Half
M301049	51	25.566166044589956	2.557079777981438	Caecum right	Positive	MSEB0011	G103bI301A	B11	41736.01664	16434.37148	5000	Success	2	15	G103b	ULV2_Half
M301050	51	27.013593230064565	2.6151879071263004	Caecum right	Positive	MSEB0011	G103bI301A	B11	40192.56872	16214.34958	5000	Success	2	15	G103b	ULV2_Half
M301051	48	25.51309733930906	2.5404633179629412	Caecum right	Positive	MSEB0011	G103bI301A	B11	40154.83648	16597.72248	5000	Success	1	15	G103b	ULV2_Half
M301052	47	25.054036905357066	2.5055455126135544	Caecum right	Positive	MSEB0011	G103bI301A	B11	40195.37784	17057.986	5000	Success	1	15	G103b	ULV2_Half
M301053	0	1	0	Caecum right	NegativeCollection	MSEB0011	G103bI301Z	B11	NA	NA	NA	NA	0	15	G103b	ULV2_Half
M301054	51	27.497886866852376	2.628063100414274	Caecum right	Positive	MSEB0011	G103bI301A	B11	39791.59826	18107.68606	5000	Success	1	15	G103b	ULV2_Half
M301055	3	2.9581476373708777	1.4369397944297115	Caecum right	Positive	MSEB0011	G103bI301A	B11	39770.59916	18361.2097	5000	Success	1	15	G103b	ULV2_Half
M301056	0	1	0	Caecum right	NegativeMebrane	MSEB0011	G103bI301M	B11	37970.15196	23862.4115	5000	Success	2	15	G103b	ULV2_Half
M301057	41	24.548330155617347	2.499656413258779	Caecum right	Positive	MSEB0011	G103bI301A	B11	40071.18696	18322.1729	5000	Success	3	15	G103b	ULV2_Half
M301058	51	24.685649955157928	2.619874892621713	Caecum right	Positive	MSEB0011	G103bI301A	B11	41182.3061	16262.49454	5000	Success	2	15	G103b	ULV2_Half
M301059	41	22.83811532989669	2.523037397130624	Caecum right	Positive	MSEB0011	G103bI301A	B11	41148.0614	16419.33738	5000	Success	1	15	G103b	ULV2_Half
M301060	41	22.085948804728254	2.449282842754108	Caecum right	Positive	MSEB0011	G103bI301A	B11	41113.29056	16943.5483	5000	Success	1	15	G103b	ULV2_Half
M301061	0	1	0	Caecum right	NegativeReaction	MSEB0011	G103bI301R	NA	NA	NA	NA	NA	0	15	G103b	ULV2_Half
M301062	0	1	0	Caecum right	NegativeMebrane	MSEB0011	G103bI301M	B11	38338.81876	12402.46378	5000	Fail	3	15	G103b	ULV2_Half
M301063	55	26.05891852281685	2.593648425997138	Caecum right	Positive	MSEB0011	G103bI301A	B11	41110.02916	17363.29422	5000	Success	2	15	G103b	ULV2_Half
M301064	36	21.211345343474296	2.3405109960932435	Caecum right	Positive	MSEB0011	G103bI301A	B11	41081.02884	18018.79422	5000	Success	2	15	G103b	ULV2_Half
M301065	48	22.809500237978217	2.448789453381042	Caecum right	Positive	MSEB0011	G103bI301A	B11	41233.76236	19314.80186	5000	Success	1	15	G103b	ULV2_Half
M301066	44	22.627593691001966	2.541439747683175	Caecum right	Positive	MSEB0011	G103bI301A	B11	NA	NA	NA	Success	1	15	G103b	ULV2_Half
M301067	0	1	0	Caecum right	NegativeCollection	MSEB0011	G103bI301Z	B11	NA	NA	NA	NA	0	15	G103b	ULV2_Half
M301068	54	24.841195905286213	2.5809130371705766	Caecum right	Positive	MSEB0011	G103bI301A	B11	40638.7833	12056.80154	5000	Success	2	15	G103b	ULV2_Half
M301069	52	25.63336804855027	2.6150231153956724	Caecum right	Positive	MSEB0011	G103bI301A	B11	41240.38908	19087.9368	5000	Success	2	15	G103b	ULV2_Half
M301070	50	24.464417768873616	2.597758561587959	Caecum right	Positive	MSEB0011	G103bI301A	B11	39970.47546	19209.60206	5000	Success	3	15	G103b	ULV2_Half
M301071	0	1	0	Caecum right	NegativeMebrane	MSEB0011	G103bI301M	B11	40473.75646	11877.0984	5000	Fail	3	15	G103b	ULV2_Half
M301072	48	25.275775944320916	2.5277832087934526	Caecum right	Positive	MSEB0011	G103bI301A	B11	40531.74412	19206.54066	5000	Success	3	15	G103b	ULV2_Half
M301073	42	22.152355483370126	2.3903629403671967	Caecum right	Positive	MSEB0011	G103bI301A	B11	39891.54958	19315.27142	5000	Success	2	15	G103b	ULV2_Half
M301074	0	1	0	Caecum right	NegativeMebrane	MSEB0011	G103bI301M	B11	45041.0623	12107.10096	5000	Success	3	15	G103b	ULV2_Half
M301075	52	25.067277050192097	2.5074304551712348	Caecum right	Positive	MSEB0011	G103bI301A	B11	41614.75434	20130.10552	5000	Success	1	15	G103b	ULV2_Half
M301076	47	25.0504609245954	2.6251833693275555	Caecum right	Positive	MSEB0011	G103bI301A	B11	41854.46724	20045.30912	5000	Success	2	15	G103b	ULV2_Half
M301077	45	23.401572133839583	2.508997432721652	Caecum right	Positive	MSEB0011	G103bI301A	B11	41599.09962	19885.17438	5000	Success	1	15	G103b	ULV2_Half
M301078	0	1	0	Caecum right	NegativeCollection	MSEB0011	G103bI301Z	B11	NA	NA	NA	NA	0	15	G103b	ULV2_Half
M301079	55	25.32620371297108	2.603564721460993	Caecum right	Positive	MSEB0011	G103bI301A	B11	41584.86814	18556.11966	5000	Success	3	15	G103b	ULV2_Half
M301080	55	25.95060433485374	2.6727067548913945	Caecum right	Positive	MSEB0011	G103bI301A	B11	41504.31156	18869.21406	5000	Success	1	15	G103b	ULV2_Half
M301081	56	25.758838056511095	2.558584288302655	Caecum right	Positive	MSEB0011	G103bI301A	B11	41547.0359	18764.19698	5000	Success	1	15	G103b	ULV2_Half
M301082	40	20.558064413256027	2.4558858154787715	Caecum right	Positive	MSEB0011	G103bI301A	B11	41448.21548	18598.51786	5000	Success	1	15	G103b	ULV2_Half
M301083	0	1	0	Caecum right	NegativeReaction	MSEB0011	G103bI301R	NA	NA	NA	NA	NA	0	15	G103b	ULV2_Half
M301084	40	21.13964619922084	2.401740008460394	Caecum right	Positive	MSEB0011	G103bI301A	B11	35617.29916	17656.64682	5000	Success	1	15	G103b	ULV2_Half
M301085	46	23.66512837744505	2.566768904656514	Caecum right	Positive	MSEB0011	G103bI301A	B11	35504.45472	17663.8219	5000	Success	2	15	G103b	ULV2_Half
M301086	3	2.746775888960176	1.3857351270294929	Caecum right	Positive	MSEB0011	G103bI301A	B11	39340.66962	17466.53552	5000	Fail	3	15	G103b	ULV2_Half
M301087	38	20.188956662094782	2.428554698961896	Caecum right	Positive	MSEB0011	G103bI301A	B11	39836.82524	17317.48954	5000	Success	2	15	G103b	ULV2_Half
M301089	55	25.222898912252372	2.642780620032957	Caecum right	Positive	MSEB0011	G103bI301A	B11	39893.5736	17603.84046	5000	Success	1	15	G103b	ULV2_Half
M301090	11	10.177834997506464	2.8731472061644237	Caecum right	Positive	MSEB0011	G121eI103B	B11	11987.96416	14611.57476	5000	Fail	3	15	G121e	ULV2_Half
M301091	0	1	0	Caecum right	NegativeCollection	MSEB0011	G121eI103Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Half
M301092	81	42.2393500044841	3.9185354293546726	Caecum right	Positive	MSEB0011	G121eI103B	B11	11970.67874	14805.96924	5000	Success	2	15	G121e	ULV2_Half
M301093	74	42.040751119798124	3.834674348185673	Caecum right	Positive	MSEB0011	G121eI103B	B11	11974.49242	15028.19236	5000	Success	3	15	G121e	ULV2_Half
M301094	52	34.690588927528864	3.584561190397002	Caecum right	Positive	MSEB0011	G121eI103B	B11	11634.6255	16069.06288	5000	Success	1	15	G121e	ULV2_Half
M301095	63	37.82905679725605	3.829869416025193	Caecum right	Positive	MSEB0011	G121eI103B	B11	11951.34104	17101.41516	5000	Success	2	15	G121e	ULV2_Half
M301096	0	1	0	Caecum right	NegativeMebrane	MSEB0011	G121eI103M	B11	12032.97148	14447.85248	5000	Success	2	15	G121e	ULV2_Half
M301097	63	38.79967208734289	3.6246472343154506	Caecum right	Positive	MSEB0011	G121eI103B	B11	11637.44374	17718.27836	5000	Success	1	15	G121e	ULV2_Half
M301098	7	5.129603282934569	2.220294043130133	Caecum right	Positive	MSEB0011	G121eI103B	B11	11561.6955	44185.50822	5000	Fail	3	15	G121e	ULV2_Half
M301099	79	44.197663668592554	3.724958666797187	Caecum right	Positive	MSEB0011	G121eI103B	B11	NA	NA	NA	Success	3	15	G121e	ULV2_Half
M301100	0	1	0	Caecum right	NegativeCollection	MSEB0011	G121eI103Z	B11	12030.93044	44147.1237	5000	NA	0	15	G121e	ULV2_Half
