microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection	collection_attempts	cycles	animal	protocol	collection_method
M300699	240	2.9087214748872525	1.4979343071018125	Ileum	Positive	MSEB0009	G121eD102C	B02	NA	NA	NA	NA	NA	15	G121e	ULV2_Full	Lid1_Axygen_7320675
M300700	244	3.5986050766533677	1.6009673689070851	Ileum	Positive	MSEB0009	G121eD103A	B12	NA	NA	NA	NA	NA	15	G121e	ULV2_Full	Lid1_Axygen_7320675
M300701	243	3.9100671191098835	1.6635918651255746	Ileum	Positive	MSEB0009	G121eD103C	B12	NA	NA	NA	NA	NA	15	G121e	ULV2_Full	Lid1_Axygen_7320675
M300702	8	3.0070040696619	1.3544247626716293	Caecum right	NegativeReaction	MSEB0009	G121eI102R	NA	NA	NA	NA	NA	NA	15	G121e	ULV2_Full	NA
M300703	6	2.68149591200299	1.2907170146253832	Caecum right	NegativeReaction	MSEB0009	G121eI102R	NA	NA	NA	NA	NA	NA	15	G121e	ULV2_Full	NA
M300704	248	46.25245295770257	4.111733457150591	Colon	Positive	MSEB0010	G121eO301A	B11	10676.96738	15665.82062	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300705	246	63.904552163524706	3.9746667933436064	Colon	Positive	MSEB0010	G121eO301A	B11	10812.31548	15756.81368	5000	Success	2	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300706	245	55.306850813447234	4.105140553301879	Colon	Positive	MSEB0010	G121eO301A	B11	11055.41592	15656.03642	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300707	249	56.014560632125644	4.107466287902743	Colon	Positive	MSEB0010	G121eO301A	B11	11216.84194	15649.18748	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300708	250	56.91915450159846	3.9682888786687798	Colon	Positive	MSEB0010	G121eO301A	B11	11879.87418	15812.03134	5000	Fail	3	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300709	81	47.88351268255285	4.609159865406179	Colon	NegativeMebrane	MSEB0010	G121eO301M	B11	8479.77238	19536.22158	5000	Success	2	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300710	51	27.09137257324494	4.608891441569459	Colon	NegativeCollection	MSEB0010	G121eO301Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300711	251	55.67648545457639	4.046441192335796	Colon	Positive	MSEB0010	G121eO301A	B11	12278.12556	15716.47232	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300712	251	58.72492501171934	4.031073841774452	Colon	Positive	MSEB0010	G121eO301A	B11	12139.9368	15889.8483	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300713	21	14.819100216270852	3.2572709969177662	Colon	NegativeMebrane	MSEB0010	G121eO301M	B11	8681.18818	19729.90424	5000	Success	2	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300714	249	54.47811108408329	4.133303893528731	Colon	Positive	MSEB0010	G121eO301A	B11	12138.95838	16135.2228	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300715	251	57.788457410880596	3.979188071579063	Colon	Positive	MSEB0010	G121eO301A	B11	12164.84958	16944.14066	5000	Success	3	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300716	249	60.671013229970264	3.9216321023721195	Colon	Positive	MSEB0010	G121eO301A	B11	12650.44174	17948.62884	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300717	249	59.40018971318324	4.100717948597479	Colon	Positive	MSEB0010	G121eO301A	B11	13434.73288	19286.92338	5000	Success	2	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300718	250	59.781143705484666	3.989150329822284	Colon	Positive	MSEB0010	G121eO301A	B11	13238.1966	20246.16108	5000	Success	2	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300719	64	9.437905626444486	2.619711943008402	Colon	NegativeCollection	MSEB0010	G121eO301Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300720	134	51.228629957962745	4.251174845466697	Colon	NegativeMebrane	MSEB0010	G121eO301M	B11	7385.37528	20281.04734	5000	Success	2	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300721	250	62.75499924683029	3.906900631347311	Colon	Positive	MSEB0010	G121eO301A	B11	10372.8246	20398.47932	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300722	247	57.04949173428652	4.044123297074403	Colon	Positive	MSEB0010	G121eO301A	B11	11173.1095	20408.58966	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300724	250	61.740249560931616	4.0079570526386705	Colon	Positive	MSEB0010	G121eO301A	B11	13295.24592	18310.96776	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300725	238	59.611724066712426	3.7470357052606	Colon	Positive	MSEB0010	G121eO301A	B11	12939.0334	18128.53828	5000	Fail	3	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300726	89	40.430700747554596	5.493394865852144	Colon	NegativeReaction	MSEB0010	G121eO301R	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300727	251	58.83987367300086	4.128478109604876	Colon	Positive	MSEB0010	G121eO301A	B11	12777.0937	17606.38202	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300728	97	56.384970737676355	4.868447247737918	Colon	NegativeCollection	MSEB0010	G121eO301Z	B11	NA	NA	NA	NA	0	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300729	236	54.29601574325053	3.909034090012545	Colon	Positive	MSEB0010	G121eO301A	B11	12551.78818	21653.41792	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300730	241	62.29344574434663	4.038759075258043	Colon	Positive	MSEB0010	G121eO301A	B11	12478.73282	21318.48324	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300731	251	60.746383681307535	3.722193711870793	Colon	Positive	MSEB0010	G121eO301A	B11	12362.87926	20562.75016	5000	Fail	3	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300732	227	64.77484179986003	4.057108680729137	Colon	Positive	MSEB0010	G121eO301A	B11	12575.2964	20313.68812	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300733	245	58.847813068352046	3.927333808200964	Colon	Positive	MSEB0010	G121eO301A	B11	12653.67	19720.44008	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300734	153	57.49634888964197	3.636022243233587	Colon	NegativeMebrane	MSEB0010	G121eO301M	B11	17189.2718	29742.57816	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300735	251	61.238385455277324	3.925052096936739	Colon	Positive	MSEB0010	G121eO301A	B11	11471.31336	19136.4	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300736	251	60.60937669594138	3.9804547394502112	Colon	Positive	MSEB0010	G121eO301A	B11	13507.3447	18129.9332	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300737	224	64.69335084027185	3.9881410487386444	Colon	Positive	MSEB0010	G121eO301A	B11	13457.11914	17998.49878	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300738	247	61.882155713255635	3.9280368587356613	Colon	Positive	MSEB0010	G121eO301A	B11	13010.05838	17942.33102	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300739	26	17.627844306574378	4.247951699321756	Colon	NegativeReaction	MSEB0010	G121eO301R	B11	NA	NA	NA	NA	0	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300740	123	55.283006553261075	4.637858508554838	Colon	NegativeMebrane	MSEB0010	G121eO301M	B11	17787.8361	12522.87874	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300741	250	58.93609769574675	3.9546249456435714	Colon	Positive	MSEB0010	G121eO301A	B11	12684.36776	17716.75106	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300742	251	59.27332648696839	4.047533164908742	Colon	Positive	MSEB0010	G121eO301A	B11	12621.54598	17543.53628	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300743	250	60.30716316249355	3.931064659791292	Colon	Positive	MSEB0010	G121eO301A	B11	12372.90116	16657.59968	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300744	245	61.95316927856432	3.8544279076940624	Colon	Positive	MSEB0010	G121eO301A	B11	11994.45138	14153.12974	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300745	251	60.97895668709218	3.8672425406580957	Colon	Positive	MSEB0010	G121eO301A	B11	12007.49698	14299.24046	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300746	46	10.208392123852839	2.8348918667461263	Colon	NegativeCollection	MSEB0010	G121eO301Z	B11	NA	NA	NA	NA	0	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300747	250	62.20343310012215	3.804879711158019	Colon	Positive	MSEB0010	G121eO301A	B11	12029.34836	14662.47546	5000	Success	3	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300748	251	59.304675732184926	3.8417176316410266	Colon	Positive	MSEB0010	G121eO301A	B11	12076.59094	15671.86506	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300749	94	51.104738935979874	4.166941016954834	Colon	NegativeMebrane	MSEB0010	G121eO301M	B11	8706.30096	29038.14926	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300750	251	59.22999464430992	3.9631373636268976	Colon	Positive	MSEB0010	G121eO301A	B11	12060.51008	16688.9842	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300751	251	62.45345487460214	3.92156719927446	Colon	Positive	MSEB0010	G121eO301A	B11	11931.1964	19713.76962	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300752	37	10.231364891605688	3.454552355496824	Colon	NegativeMebrane	MSEB0010	G121eO301M	B12	13243.9702	30714.35286	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300753	250	54.258824962855435	3.87047956710533	Colon	Positive	MSEB0010	G121eO301A	B12	13884.29948	20066.12646	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300754	20	11.105969953401923	3.4418361756590956	Colon	NegativeReaction	MSEB0010	G121eO301R	B12	NA	NA	NA	NA	0	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300755	250	56.03304063117667	4.093146621531695	Colon	Positive	MSEB0010	G121eO301A	B12	13715.67514	19528.97232	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300756	250	53.95962147111494	4.076680964294929	Colon	Positive	MSEB0010	G121eO301A	B12	13508.6447	19087.25324	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300757	251	54.271558955640316	4.130367732477574	Colon	Positive	MSEB0010	G121eO301A	B12	13209.3237	18911.46378	5000	Fail	3	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300758	251	60.60177813341253	3.9133477257622453	Colon	Positive	MSEB0010	G121eO301A	B12	13454.4955	18211.87688	5000	Fail	3	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300759	252	57.034625342236765	4.139032968103778	Colon	Positive	MSEB0010	G121eO301A	B12	13356.62736	17525.29242	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300760	249	52.51069660933556	4.0927319807986935	Colon	Positive	MSEB0010	G121eO301A	B12	12866.49454	15050.06616	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300761	251	55.107864214617955	4.093000268895555	Colon	Positive	MSEB0010	G121eO301A	B12	12921.93834	15311.99024	5000	Success	3	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300762	28	8.726888647080111	3.118461760717802	Colon	NegativeCollection	MSEB0010	G121eO301Z	B12	NA	NA	NA	NA	0	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300763	252	59.54886344334862	4.016796525305981	Colon	Positive	MSEB0010	G121eO301A	B12	12995.94598	15577.54522	5000	Fail	3	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300764	251	58.30810749979168	3.910201819691245	Colon	Positive	MSEB0010	G121eO301A	B12	12999.10738	16205.10154	5000	Success	2	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300765	177	42.010404847980084	4.14976402296159	Colon	NegativeMebrane	MSEB0010	G121eO301M	B12	13266.8	30315.89878	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300766	250	56.76336353343613	4.1332556938363885	Colon	Positive	MSEB0010	G121eO301A	B12	13128.59698	18741.54252	5000	Success	2	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300767	249	51.97245510514217	4.006490854778034	Colon	Positive	MSEB0010	G121eO301A	B12	13103.6842	20085.08362	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300768	249	54.44729765325753	4.031808777537943	Colon	Positive	MSEB0010	G121eO301A	B12	12299.77816	15261.2528	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300769	34	14.27060606651244	3.8907680013802195	Colon	NegativeMebrane	MSEB0010	G121eO301M	B12	11581.66596	28330.7851	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300770	94	30.334102835822865	4.919868097192528	Colon	NegativeCollection	MSEB0010	G121eO301Z	B12	NA	NA	NA	NA	0	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300771	248	57.96918926144794	4.02778258541587	Colon	Positive	MSEB0010	G121eO301A	B12	12230.63648	14216.24098	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300772	250	59.73172047582121	3.899034856150683	Colon	Positive	MSEB0010	G121eO301A	B12	12192.80424	14393.51548	5000	Success	2	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300773	252	62.4132879323895	3.6216779060297624	Colon	Positive	MSEB0010	G121eO301A	B12	12122.68414	16011.33192	5000	Fail	3	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300774	251	56.38539918485338	4.122407283097316	Colon	Positive	MSEB0010	G121eO301A	B12	12155.62428	16716.4693	5000	Fail	3	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300775	250	53.55376799791409	4.039717111737471	Colon	Positive	MSEB0010	G121eO301A	B12	12941.42922	17792.20912	5000	Success	1	15	G121e	ULV2_Full	Lid8_Covaris_500639
M300776	251	57.02443992115709	3.986191393040604	Colon	Positive	MSEB0010	G121eO301A	B12	10481.8709	16446.69692	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300777	215	63.8294147982509	4.004580791792228	Colon	Positive	MSEB0010	G121eO301A	B12	10486.43686	16559.54136	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300778	250	57.359783686455756	4.014746127469984	Colon	Positive	MSEB0010	G121eO301A	B12	10349.8842	16974.87142	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300779	19	10.64689954254957	4.202733659829968	Colon	NegativeCollection	MSEB0010	G121eO301Z	B12	NA	NA	NA	NA	0	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300780	251	53.85634583050113	4.031943375083888	Colon	Positive	MSEB0010	G121eO301A	B12	10386.11188	17635.7851	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300781	73	27.241928780985376	4.346054069921873	Colon	NegativeMebrane	MSEB0010	G121eO301M	B12	9381.64688	30091.13282	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300782	251	53.84502531438647	4.039524024138565	Colon	Positive	MSEB0010	G121eO301A	B12	10499.6086	18348.85048	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300783	251	57.754393647393485	4.054507475676166	Colon	Positive	MSEB0010	G121eO301A	B12	10505.17912	19231.33282	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300784	248	53.052589204131856	4.0191368867006325	Colon	Positive	MSEB0010	G121eO301A	B12	11637.20456	19482.30058	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300785	56	41.3515114819396	4.731183110096045	Colon	NegativeMebrane	MSEB0010	G121eO301M	B12	9262.83192	30609.57778	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300786	249	56.7327412912407	4.172363933130143	Colon	Positive	MSEB0010	G121eO301A	B12	11099.17694	18995.86744	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300787	251	57.07418042192878	4.060990007188501	Colon	Positive	MSEB0010	G121eO301A	B12	10460.97366	19686.93828	5000	Success	3	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300788	250	54.48576658181325	4.019748247323724	Colon	Positive	MSEB0010	G121eO301A	B12	10442.08368	20914.3589	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300789	56	30.557213063832307	4.7760086565505055	Colon	NegativeReaction	MSEB0010	G121eO301R	B12	NA	NA	NA	NA	0	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300790	155	39.64112369676939	3.5900619415902413	Colon	Positive	MSEB0010	G121eO301A	B12	10801.29326	21241.46384	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300791	249	49.31088678083527	4.169707433589178	Colon	Positive	MSEB0010	G121eO301A	B12	11146.55684	21763.21792	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300792	251	55.66369636702249	4.257795326403345	Colon	Positive	MSEB0010	G121eO301A	B12	11630.3341	20543.5896	5000	Fail	3	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300793	152	30.39390333652498	3.9338827873823305	Colon	NegativeCollection	MSEB0010	G121eO301Z	B12	NA	NA	NA	NA	0	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300794	250	56.71665799939481	4.055058365007028	Colon	Positive	MSEB0010	G121eO301A	B12	11673.93686	21223.36474	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300795	208	55.33248112050537	3.81192855313145	Colon	Positive	MSEB0010	G121eO301A	B12	11602.686	22068.26416	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300796	30	12.304416829989652	4.442864719937654	Colon	NegativeMebrane	MSEB0010	G121eO301M	B12	13661.80424	28676.17836	5000	Fail	3	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300797	252	51.90680002285035	4.046237326054361	Colon	Positive	MSEB0010	G121eO301A	B12	12879.97508	20904.88182	5000	Success	3	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300798	251	47.129111276642526	4.133944374528016	Colon	Positive	MSEB0010	G121eO301A	B12	12256.4919	21371.44612	5000	Success	2	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300799	157	46.74623148981259	3.709550742062534	Colon	Positive	MSEB0010	G121eO301A	B12	11843.31104	19915.7264	5000	Success	1	19	G121e	ULV2_Full	Lid8_Covaris_500639
M300800	218	53.27760127068684	4.373301111804077	Caecum right	Positive	MSEB0011	G121eI103A	B11	10737.62062	16484.23918	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300801	252	62.867009196018664	3.97885530215004	Caecum right	Positive	MSEB0011	G121eI103A	B11	11138.6973	16511.96108	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300803	250	59.76073728608114	4.065264374322499	Caecum right	Positive	MSEB0011	G121eI103A	B11	11622.11188	16524.68054	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300804	247	55.97621869038577	4.068111406445675	Caecum right	Positive	MSEB0011	G121eI103A	B11	12248.56416	16527.94194	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300805	221	64.26973611549266	3.920593756056625	Caecum right	NegativeCollection	MSEB0011	G121eI103Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300806	249	60.1227089546085	4.227976722066824	Caecum right	Positive	MSEB0011	G121eI103A	B11	12747.25504	16541.31368	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300807	249	59.74097178755089	4.114641476627381	Caecum right	Positive	MSEB0011	G121eI103A	B11	13483.0501	16527.28966	5000	Fail	3	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300808	250	59.0155611259404	4.057511986334464	Caecum right	Positive	MSEB0011	G121eI103A	B11	12989.96544	14210.7718	5000	Success	2	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300809	250	61.067305754876905	4.028798321084511	Caecum right	Positive	MSEB0011	G121eI103A	B11	12867.98908	14539.37932	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300810	249	59.1729055723823	4.020470304115196	Caecum right	Positive	MSEB0011	G121eI103A	B11	12837.8842	14848.52736	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300811	251	58.80933651815544	4.163181785556305	Caecum right	Positive	MSEB0011	G121eI103A	B11	12938.91374	15317.87508	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300812	7	3.444626961517646	2.3683232076283134	Caecum right	NegativeReaction	MSEB0011	G121eI103R	NA	NA	NA	NA	NA	0	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300813	86	38.74016926180818	6.096837969224065	Caecum right	NegativeMebrane	MSEB0011	G121eI103M	B11	7483.54342	20472.49152	5000	Success	3	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300814	251	61.85694956044372	3.9851099084566983	Caecum right	Positive	MSEB0011	G121eI103A	B11	12798.89968	16162.57508	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300815	248	61.251055949538184	3.9078481826170335	Caecum right	Positive	MSEB0011	G121eI103A	B11	12954.7946	17561.436420000002	5000	Success	2	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300816	250	64.08750995986676	3.9461504705287576	Caecum right	Positive	MSEB0011	G121eI103A	B11	12298.56686	17532.22062	5000	Success	3	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300817	228	55.29609577712572	4.015019080142045	Caecum right	NegativeCollection	MSEB0011	G121eI103Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300818	251	57.75411754178374	4.095438730155712	Caecum right	Positive	MSEB0011	G121eI103A	B11	12361.31188	17184.33796	5000	Success	2	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300819	248	59.67227998475472	4.056264476332794	Caecum right	Positive	MSEB0011	G121eI103A	B11	12388.1815	16727.70514	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300820	248	61.32560553589807	3.899588712989109	Caecum right	Positive	MSEB0011	G121eI103A	B11	12429.47514	16253.89602	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300821	247	60.01916305019271	4.054159520242078	Caecum right	Positive	MSEB0011	G121eI103A	B11	12344.87874	15766.96744	5000	Fail	3	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300822	246	59.49534483893654	4.0527403585234945	Caecum right	Positive	MSEB0011	G121eI103A	B11	12320.97052	15543.6964	5000	Success	2	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300823	222	36.107261378374446	2.913295983122808	Caecum right	NegativeMebrane	MSEB0011	G121eI103M	B11	8397.2201	20245.35472	5000	Success	2	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300824	252	57.18143529556737	3.907503756593677	Caecum right	Positive	MSEB0011	G121eI103A	B11	11719.47418	16323.69454	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300825	249	58.6257445001097	4.04931093664827	Caecum right	Positive	MSEB0011	G121eI103A	B11	11961.39744	16158.99384	5000	Success	3	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300826	167	26.001278690299163	3.684856017866323	Caecum right	NegativeMebrane	MSEB0011	G121eI103M	B11	9454.23738	12723.73648	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300827	247	58.14686833773178	4.143727851252738	Caecum right	Positive	MSEB0011	G121eI103A	B11	13426.28548	16219.42974	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300828	249	63.208631112749075	3.9859097203784954	Caecum right	Positive	MSEB0011	G121eI103A	B11	13625.12878	16318.35016	5000	Success	2	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300829	249	61.69437679405893	4.008392347284642	Caecum right	Positive	MSEB0011	G121eI103A	B11	13735.13796	15891.15292	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300830	173	39.512661503993165	2.856689359708603	Caecum right	NegativeCollection	MSEB0011	G121eI103Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300831	249	62.987388768647484	4.020579075119698	Caecum right	Positive	MSEB0011	G121eI103A	B11	13557.47546	15842.13192	5000	Success	2	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300832	189	40.94151828159337	2.988699333323872	Caecum right	NegativeMebrane	MSEB0011	G121eI103M	B11	8606.62826	16865.69512	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300833	248	60.34159380849413	4.055614124715439	Caecum right	Positive	MSEB0011	G121eI103A	B11	12563.14136	14328.70244	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300834	247	58.63921768225549	3.962569955451361	Caecum right	Positive	MSEB0011	G121eI103A	B11	12919.30366	14314.45228	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300835	249	57.15551593519707	4.063366759484104	Caecum right	Positive	MSEB0011	G121eI103A	B11	11266.93378	14345.81156	5000	Success	2	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300836	251	60.1798239093385	4.045084931347807	Caecum right	Positive	MSEB0011	G121eI103A	B11	11220.6219	14576.61002	5000	Success	2	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300837	248	58.04737899177867	3.98214778341783	Caecum right	Positive	MSEB0011	G121eI103A	B11	11229.65382	14972.21374	5000	Success	2	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300838	2	1.9644825619697421	1.0569840722924686	Caecum right	NegativeReaction	MSEB0011	G121eI103R	NA	NA	NA	NA	NA	0	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300839	244	68.0672560123404	4.02654603332361	Caecum right	Positive	MSEB0011	G121eI103A	B11	11750.52138	14739.7842	5000	Fail	3	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300840	247	63.52551637915278	3.9014444589672213	Caecum right	Positive	MSEB0011	G121eI103A	B11	8408.33514	16985.06236	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300841	189	45.177599806624585	2.921964729262113	Caecum right	NegativeCollection	MSEB0011	G121eI103Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Half	Lid8_Covaris_500639
M300886	253	60.62617372873008	4.056693324947863	Caecum right	Positive	MSEB0011	G121eI103A	B11	12563.14136	14328.70244	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M301037	252	59.718831548191275	3.9973602667908716	Caecum right	Positive	MSEB0011	G121eI103A	B11	12952.2438	14374.78818	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M301038	252	63.64684314955569	3.9555154569012645	Caecum right	Positive	MSEB0011	G121eI103A	B11	11132.23796	14468.76634	5000	Success	3	15	G121e	ULV2_Half	Lid8_Covaris_500639
M301039	250	62.25934326723395	3.958834048270071	Caecum right	Positive	MSEB0011	G121eI103A	B11	11247.03924	14610.85472	5000	Success	1	15	G121e	ULV2_Half	Lid8_Covaris_500639
M301040	178	49.086556895896685	3.0365469579684152	Caecum right	NegativeMebrane	MSEB0011	G121eI103M	B11	11318.03776	14675.1002	5000	Success	2	15	G121e	ULV2_Half	Lid8_Covaris_500639
